Ranking,University,City,State,Region,Founded,Students_count,Staff_count,Setting,Latitude,Longitude,Air_quality
1524,North Central University,Minneapolis ,Minnesota,Midwest,1930,1999,99,Urban,44.977479,-93.264346,1
1525,Shaw University,Raleigh ,North Carolina,Southeast,1865,1999,199,Urban,35.781295,-78.64167,2
1526,Saybrook University,Pasadena ,California,West,1971,999,199,Urban,34.14955,-118.141452,2
1527,Livingstone College,Salisbury ,North Carolina,Southeast,1879,1999,99,Suburban,35.668328,-80.470993,1
1528,Warner University,Lake Wales ,Florida,Southeast,1968,1999,199,Rural,27.901237,-81.586277,2
1529,Nazarene Bible College,Colorado Springs ,Colorado,West,1964,1999,50,Urban,38.835224,-104.819798,2
1530,Art Academy of Cincinnati,Cincinnati ,Ohio,Midwest,1887,250,99,Urban,39.104427,-84.513808,2
1531,Mid-America Christian University,Oklahoma City ,Oklahoma,Southwest,1953,2999,50,Urban,35.468494,-97.521264,2
1532,Gordon State College,Barnesville ,Georgia,Southeast,1852,4999,299,Suburban,33.054589,-84.155528,2
1533,Johnson University,Knoxville ,Tennessee,Southeast,1893,1999,99,Rural,35.962631,-83.916677,3
1534,Criswell College,Dallas ,Texas,Southwest,1970,499,50,Urban,32.777977,-96.796215,1
1535,Cumberland University,Lebanon ,Tennessee,Southeast,1842,2999,199,Suburban,36.213087,-86.306476,2
1536,Amberton University,Garland ,Texas,Southwest,1971,2999,99,Suburban,32.914343,-96.636564,1
1537,Glenville State College,Glenville ,West Virginia,Southeast,1872,2999,99,Rural,38.91388,-80.749167,2
1538,Barclay College,Haviland ,Kansas,Midwest,1917,499,50,Rural,37.617368,-99.10487,1
1539,Midland University,Fremont ,Nebraska,Midwest,1883,1999,50,Rural,41.435822,-96.498494,1
1540,Texas A&M University-Texarkana,Texarkana ,Texas,Southwest,1971,2999,199,Suburban,33.44221,-94.06408,1
1541,Boston Graduate School of Psychoanalysis,Brookline ,Massachusetts,Northeast,1973,250,N/A,Suburban,42.333674,-71.120879,2
1542,Columbia College Hollywood,Tarzana ,California,West,1952,999,99,Urban,34.173302,-118.553101,1
1543,New York College of Podiatric Medicine,New York City ,New York,Northeast,1911,499,50,Urban,40.713054,-74.007228,2
1544,Northern New Mexico College,Espanola ,New Mexico,Southwest,1909,1999,99,Rural,35.996427,-106.084008,2
1545,Bacone College,Muskogee ,Oklahoma,Southwest,1880,1999,50,Suburban,35.747864,-95.369421,2
1546,Atlanta Metropolitan State College,Atlanta ,Georgia,Southeast,1974,3999,199,Urban,33.748547,-84.391502,2
1547,Blackburn College,Carlinville ,Illinois,Midwest,1837,999,99,Rural,39.285496,-89.881681,2
1548,Harris-Stowe State University,St. Louis ,Missouri,Midwest,1857,1999,299,Urban,38.630276,-90.200309,2
1549,Washington Adventist University,Takoma Park ,Maryland,Southeast,1904,1999,199,Suburban,38.981004,-77.010337,2
1550,Southwestern Assemblies of God University,Waxahachie ,Texas,Southwest,1927,2999,199,Suburban,32.39361,-96.846992,2
1551,Indiana University East,Richmond ,Indiana,Midwest,1971,5999,299,Rural,39.827286,-84.890357,2
1552,Young Harris College,Young Harris ,Georgia,Southeast,1886,1999,199,Rural,34.932142,-83.848666,2
1553,"Bethel University, Tennessee",McKenzie ,Tennessee,Southeast,1842,6999,199,Rural,36.131705,-88.517305,2
1554,University of Jamestown,Jamestown ,North Dakota,Midwest,1883,1999,99,Rural,46.911627,-98.708622,2
1555,"Union College, Nebraska",Lincoln ,Nebraska,Midwest,1891,999,99,Urban,40.813599,-96.70261,1
1556,Cleveland University-Kansas City,Overland Park ,Kansas,Midwest,1922,999,99,Urban,38.974799,-94.683622,2
1557,Brazosport College,Lake Jackson ,Texas,Southwest,1968,6999,99,Suburban,29.036192,-95.448867,2
1558,Schreiner University,Kerrville ,Texas,Southwest,1923,1999,199,Rural,30.042787,-99.135299,2
1559,Pardee RAND Graduate School,Santa Monica ,California,West,1970,250,50,Urban,34.010932,-118.491512,1
1560,South College,Knoxville ,Tennessee,Southeast,1882,3999,399,Urban,35.962631,-83.916677,3
1561,University of the Southwest,Hobbs ,New Mexico,Southwest,1962,1999,50,Rural,32.700807,-103.136211,2
